subpath,instrument_name,instrument_family,instrument_source,type,notes
DVD 2/KEYBOARDS/CELESTA,celesta,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Pedals_BarPlen_Reeds,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/SymPlenum_56,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Posaune pedals,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Prinzipal 2,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Nasat,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Crumhorn,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Hauptwerk All_27,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Dulzian,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/SoloCornet_29,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Scharf4_28,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Prinzipal4_28,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Koppelflote_Positiv,organ,keyboard,acoustic,note,
"DVD 2/KEYBOARDS/ORGAN/Brustwerk,all stops",organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Baroque Plenum,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Gemshorn,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Flutes_28,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Solo Trumpet,organ,keyboard,acoustic,note,
"DVD 2/KEYBOARDS/ORGAN/Full Organ,All Stops On_Off",organ,keyboard,acoustic,chord,
"DVD 2/KEYBOARDS/ORGAN/Full Organ,All Stops",organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Baroque Plenum _Reeds,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Rauschpfeife,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Hauptwerk Mix_28,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/ORGAN/Baroque Plenum_Pedals,organ,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/PIANO MPP LOUD,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/PIANO RIGHT PEDAL _VOL9,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/PIANO MPP SOFT,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/PIANO MPP MEDIUM,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/PIANO HARMONICS,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/HAMBURG STEINWAY LOUD,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/CONCERT HALL STEINWAY SOFT,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/PIANOS/STEINWAY PIANO PLUCKED,piano,keyboard,acoustic,note,
DVD 2/KEYBOARDS/HARPSICHORD/HARPSICHORD BUFF STOP,harpsichord,keyboard,acoustic,note,
DVD 2/KEYBOARDS/HARPSICHORD/HARPSICHORD 8_4 STOPS,harpsichord,keyboard,acoustic,note,
DVD 2/KEYBOARDS/HARPSICHORD/HARPSICHORD 8 STOP,harpsichord,keyboard,acoustic,note,
DVD 2/PERCUSSION/GLOCKENSPIEL BRASS BEATER,glockenspiel,percussion,acoustic,note,
DVD 2/PERCUSSION/CROTALES,crotales,percussion,acoustic,note,
DVD 2/PERCUSSION/XYLOPHONE,xylophone,percussion,acoustic,note,
DVD 2/PERCUSSION/TYMPANI,tympani,percussion,acoustic,ASSORTED,if ROLL in filename sequence else note
DVD 2/PERCUSSION/MARIMBA/MARIMBA SOFT MALLET,marimba,percussion,acoustic,note,
DVD 2/PERCUSSION/MARIMBA/MARIMBA CRESCENDO ROLL,marimba,percussion,acoustic,sequence,
DVD 2/PERCUSSION/MARIMBA/GRAND SYMPHONIC MARIMBA,marimba,percussion,acoustic,note,
DVD 2/PERCUSSION/PERCUSSION METALS,percussion metal,percussion,acoustic,ASSORTED,"if (PATTERN, CHIMES, ROLL, SHAKE, TREE or WATERPHONE in filename) sequence else note"
DVD 2/PERCUSSION/VIBRAPHONE/VIBRAPHONE_SOFT MALLET,vibraphone,percussion,acoustic,note,
DVD 2/PERCUSSION/VIBRAPHONE/VIBRAPHONE_HARD MALLET,vibraphone,percussion,acoustic,note,
DVD 2/PERCUSSION/VIBRAPHONE/VIBRAPHONE_BOWED,vibraphone,percussion,acoustic,note,
DVD 2/PERCUSSION/TUBULAR BELLS,tubular bells,percussion,acoustic,note,
DVD 2/PERCUSSION/STEEL DRUM/STEEL DRUM LOUD,steel drum,percussion,acoustic,note,
DVD 2/PERCUSSION/STEEL DRUM/STEEL DRUM ROLLS,steel drum,percussion,acoustic,sequence,
DVD 2/PERCUSSION/STEEL DRUM/STEEL DRUM SOFT,steel drum,percussion,acoustic,note,
DVD 2/PERCUSSION/PERCUSSION SKINS,percussion skin,percussion,acoustic,ASSORTED,"if (PATTERN, ROLL or DOUBLE in filename) sequence else note"
DVD 3/STRINGS/VIOLINS/VIOLIN 1 NON VIBRATO,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VLN ENSEMBLE_HARMONICS-WET,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN VIBRATO,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN PIZZICATO,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN MARTELE,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN 2 NON VIBRATO,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VLN ENSEMBLE_SOFT ATTACK-WET,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VLN ENSEMBLE_DRY-BRIGHT,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN MUTED_VIBRATO,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN 3 NON VIBRATO,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN HARMONICS_ARTIFICIAL,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VIOLIN HARMONICS_NATURAL,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VLN ENSEMBLE_MARTELE-WET,violin,string,acoustic,note,
DVD 3/STRINGS/VIOLINS/VLN ENSEMBLE_PIZZICATO-WET,violin,string,acoustic,note,
"DVD 3/STRINGS/VIOLS/BASS VIOL ",viol,string,acoustic,note,
DVD 3/STRINGS/VIOLS/TENOR VIOL,viol,string,acoustic,note,
DVD 3/STRINGS/VIOLS/TREBLE VIOL,viol,string,acoustic,note,
DVD 3/STRINGS/LUTES/RENAISSANCE 8 COURSE LUTE,lute,string,acoustic,note,
"DVD 3/STRINGS/LUTES/ARCHLUTE ",lute,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA VIBRATO,viola,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA NON-VIBRATO,viola,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA ARTIFICIAL HARMONICS,viola,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA MUTED,viola,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA NATURAL HARMONICS,viola,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA PIZZICATO,viola,string,acoustic,note,
DVD 3/STRINGS/VIOLAS/VIOLA MARTELE,viola,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO MARTELE,cello,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO ARTIFICIAL HARMONICS,cello,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO NATURAL HARMONICS,cello,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO PIZZICATO,cello,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO MUTED_VIBRATO,cello,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO NON-VIBRATO,cello,string,acoustic,note,
DVD 3/STRINGS/CELLOS/CELLO,cello,string,acoustic,note,
DVD 3/STRINGS/BASS/ANALOG SYNTH BASS,bass,string,synthetic,note,
DVD 3/STRINGS/BASS/ELECTRIC BASS_BRIGHT,bass,string,electronic,note,
DVD 3/STRINGS/BASS/ELECTRIC BASS_DEAD NOTES,bass,string,electronic,note,
DVD 3/STRINGS/BASS/ELECTRIC BASS_SLAP,bass,string,electronic,note,
DVD 3/STRINGS/BASS/ELECTRIC BASS_POP STYLE,bass,string,electronic,note,
DVD 3/STRINGS/BASS/ELECTRIC BASS_HARMONICS,bass,string,electronic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_BOWED_VIBRATO,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_AMPLIFIED,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_HARMONICS,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_MUTED,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_MARTELE,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_IMPROVISED LINES,bass,string,acoustic,sequence,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_PIZZ,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_SLIDES,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_PLUCKED,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ACOUSTIC BASS/ACOUSTIC BASS_AMPLIFIED_HARMONICS,bass,string,acoustic,note,
DVD 3/STRINGS/BASS/ELECTRIC BASS_DEEP,bass,string,electronic,note,
DVD 3/STRINGS/BASS/FRETLESS BASS_FLANGED,bass,string,electronic,note,
DVD 3/WOODWINDS/OBOE AND ENGLISH HORN/OBOE,oboe,woodwind,acoustic,note,
DVD 3/WOODWINDS/OBOE AND ENGLISH HORN/ENGLISH HORN,english horn,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/ALTO SAX SOUNDS/ALTO SAX SCREAMS,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/ALTO SAX SOUNDS/ALTO SAX GROWLS,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/ALTO SAX SOUNDS/ALTO SAX,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/ALTO SAX SOUNDS/ALTO SAX MULTI-PHONICS,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/TENOR SAX SOUNDS/TENOR SAX GROWLS,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/TENOR SAX SOUNDS/TENOR SAX,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/TENOR SAX SOUNDS/TENOR SAX SUBTONES,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/BASS SAX,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/SOPRANO SAX,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/SAXOPHONES/BARITONE SAX,saxophone,woodwind,acoustic,note,
DVD 3/WOODWINDS/CLARINETS/CLARINET_EFLAT,clarinet,woodwind,acoustic,note,
DVD 3/WOODWINDS/CLARINETS/CLARINET BFLAT,clarinet,woodwind,acoustic,note,
DVD 3/WOODWINDS/CLARINETS/CLARINET_CONTRABASS,clarinet,woodwind,acoustic,note,
DVD 3/WOODWINDS/CLARINETS/CLARINET_BASS,clarinet,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Renaissance SOPRANO Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Baroque ALTO Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Renaissance GREAT BASS Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Baroque TENOR Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Renaissance TENOR Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Renaissance ALTO Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Baroque SOPRANO Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Renaissance BASSINET Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/RECORDERS/Renaissance QUART Recorder,recorder,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/CRUMHORNS/BASS CRUMHORN,crumhorn,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/CRUMHORNS/SOPRANO CRUMHORN,crumhorn,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/CRUMHORNS/ALTO CRUMHORN,crumhorn,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/CRUMHORNS/TENOR CRUMHORN,crumhorn,woodwind,acoustic,note,
"DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/OBOES/BAROQUE OBOE (with flattement) ",oboe,woodwind,acoustic,note,
"DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/OBOES/BAROQUE OBOE (in C) ",oboe,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/OBOES/OBOE D'AMORE,oboe,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/OBOES/CLASSICAL OBOE,oboe,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/ALTO SHAWM,shawm,woodwind,acoustic,note,
DVD 3/WOODWINDS/HISTORICAL WIND INSTRUMENTS/TREBLE CORNETT,cornett,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PAN FLUTE_FLUTTER,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_VIBRATO,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_BASS_NON VIB,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_BASS_FLUTTER,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PICCOLO/PICCOLO_NON VIB,piccolo,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PICCOLO/PICCOLO_VIBRATO,piccolo,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PICCOLO/PICCOLO_FLUTTER,piccolo,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_ALTO_VIB,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_NON VIB,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_FLUTTER,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PAN FLUTE_HIGH,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_ALTO_NON VIB,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/FLUTE_BASS_VIB,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PAN FLUTE_LOW,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/FLUTES AND PICCOLO/PAN FLUTE_MEDIUM,flute,woodwind,acoustic,note,
DVD 3/WOODWINDS/BASSOONS/CONTRABASSOON,contrabassoon,woodwind,acoustic,note,
DVD 3/WOODWINDS/BASSOONS/BASSOON,bassoon,woodwind,acoustic,note,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_CHA CHA MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_WAWONKO MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/TRIANGLE PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_EGYPTIAN MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/WHISTLE PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/DARBUKA PATTERN,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/BURMA TEMPLE BELLS PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PANDERO PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/FINGER CYMBAL PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_COMPASA MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_SAMBA MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_MAMBO MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/SHAKER PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/CONGA_TUMBA PATTERNS,ASSORTED,percussion,acoustic,sequence,
DVD 3/PERCUSSION PATTERNS AND DANCE/PERCUSSION_RHUMBA MIXES,ASSORTED,percussion,acoustic,sequence,
DVD 1/BRASS/TRUMPETS/TRUMPET_CUP_LOUD,trumpet,brass,acoustic,note,
DVD 1/BRASS/TRUMPETS/TRUMPET_HARD ATTACK,trumpet,brass,acoustic,note,
DVD 1/BRASS/TRUMPETS/TRUMPET_BUCKET_SOFT,trumpet,brass,acoustic,note,
DVD 1/BRASS/TRUMPETS/TRUMPET_BUCKET_LOUD,trumpet,brass,acoustic,note,
DVD 1/BRASS/TRUMPETS/TRUMPET IN C,trumpet,brass,acoustic,note,
DVD 1/BRASS/TRUMPETS/TRUMPET IN C_HARMON MUTE,trumpet,brass,acoustic,note,
DVD 1/BRASS/TRUMPETS/TRUMPET_BACH,trumpet,brass,acoustic,note,
DVD 1/BRASS/TUBA,tuba,brass,acoustic,note,
DVD 1/BRASS/TUBA/TUBA PEDAL,tuba,brass,acoustic,note,
DVD 1/BRASS/TROMBONES/TROMBONE PEDAL NOTES,trombone,brass,acoustic,note,
DVD 1/BRASS/TROMBONES/TROMBONE_ALTO,trombone,brass,acoustic,note,
DVD 1/BRASS/TROMBONES/TROMBONE_BASS,trombone,brass,acoustic,note,
DVD 1/BRASS/TROMBONES/TROMBONE TENOR_MUTED,trombone,brass,acoustic,note,
DVD 1/BRASS/TROMBONES/TROMBONE TENOR,trombone,brass,acoustic,note,
DVD 1/BRASS/FRENCH HORN/FRENCH HORN_MUTED,french horn,brass,acoustic,note,
DVD 1/BRASS/FRENCH HORN/FRENCH HORN,french horn,brass,acoustic,note,
DVD 1/BRASS/CORNET,cornet,brass,acoustic,note,
DVD 1/ACCORDION/ACCORDION TREBLE NOTES,accordion,accordion,acoustic,note,
DVD 1/ACCORDION/ACCORDION CHORDS,accordion,accordion,acoustic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR DOMINANT SEVENTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR MAJOR SEVENTH,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR_FIFTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR MAJOR SEVENTH STOPPED,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR DOMINANT NINTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR MINOR SEVENTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR NINTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR,guitar,guitar,electronic,note,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR MAJOR SIXTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR_HARMONICS,guitar,guitar,electronic,note,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR ELEVENTHS,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR_STEREO CHORUS,guitar,guitar,electronic,note,
DVD 1/GUITARS/ELECTRIC GUITAR/ELECTRIC GUITAR FLAT 7 SHARP 9,guitar,guitar,electronic,chord,
DVD 1/GUITARS/ACOUSTIC GUITAR/Harmonics,guitar,guitar,acoustic,note,
DVD 1/GUITARS/ACOUSTIC GUITAR/Normal,guitar,guitar,acoustic,note,
DVD 1/GUITARS/ACOUSTIC GUITAR/Sul Ponticello,guitar,guitar,acoustic,note,
DVD 1/GUITARS/ACOUSTIC GUITAR/Sul Tasto,guitar,guitar,acoustic,note,
DVD 1/GUITARS/ACOUSTIC GUITAR/Pizzicato,guitar,guitar,acoustic,note,
DVD 1/GUITARS/ACOUSTIC GUITAR/Tapping,guitar,guitar,acoustic,note,
DVD 1/HARP/HARP SINGLE NOTES,harp,harp,acoustic,note,
DVD 1/HARP/HARP HARMONICS,harp,harp,acoustic,note,
DVD 1/HARP/HARP GLISS PENT DESCENDING,harp,harp,acoustic,sequence,
DVD 1/HARP/HARP GLISS PENT ASCENDING,harp,harp,acoustic,sequence,
DVD 1/HARP/HARP GLISS min11 DESCENDING,harp,harp,acoustic,sequence,
DVD 1/HARP/HARP GLISS min11 ASCENDING,harp,harp,acoustic,sequence,
DVD 1/HARP/HARP GLISS DOMINANT 7 DESCENDING,harp,harp,acoustic,sequence,
DVD 1/HARP/HARP GLISS DOM 7 ASCENDING,harp,harp,acoustic,sequence,
